"","PLOT_ID","C.storage","N.storage","pH","sand","silt","clay","test"
"1",1,10020,630,4.73,47,42,11,100
"2",2,12780,590,4.33,58,30,12,100
"3",3,8800,460,4.48,43,35,22,100
"4",6,9620,420,4.5,49,34,17,100
"5",7,8340,480,4.47,55,36,9,100
"6",9,12310,650,4.53,54,33,13,100
"7",10,13380,680,4.4,53,33,14,100
"8",11,9780,510,4.59,54,39,7,100
"9",12,17360,710,4.87,56,37,7,100
"10",13,5100,160,5.71,NA,NA,NA,NA
"11",14,8630,300,5.63,51,32,17,100
"12",15,7110,180,5.57,43,39,18,100
"13",16,5150,190,5.47,29,49,22,100
"14",17,6280,170,5.73,41,44,15,100
"15",18,5580,200,5.57,41,42,17,100
"16",19,5440,110,5.13,63,27,10,100
"17",20,3840,120,5.2,68,21,11,100
"18",21,6480,200,5.58,49,38,13,100
"19",22,7950,270,5.83,41,44,15,100
"20",23,6840,230,5.6,36,40,24,100
"21",24,4780,170,5.61,40,43,17,100
"22",25,3700,130,6.54,70,27,3,100
"23",26,5090,150,6.53,77,20,3,100
"24",27,3370,100,6.83,76,20,4,100
"25",28,1530,80,6.73,76,21,3,100
"26",29,2610,70,6.63,73,18,9,100
"27",30,4230,140,6.6,69,24,7,100
"28",31,3730,100,6.53,69,26,5,100
"29",32,3510,90,6.43,76,20,4,100
"30",33,2720,70,6.5,71,24,5,100
"31",34,2590,80,6.76,66,25,9,100
"32",35,2060,70,6.87,68,28,4,100
"33",36,3670,80,6.47,72,26,2,100
"34",37,15890,530,5.07,63,31,6,100
"35",38,6100,170,5.27,68,23,9,100
"36",39,5360,120,5.03,58,33,9,100
"37",40,9940,160,4.67,61,32,7,100
"38",41,6500,190,5,65,28,7,100
"39",42,8870,410,4.6,66,28,6,100
"40",43,10570,280,5.03,46,46,8,100
"41",44,3130,100,5.7,41,35,24,100
"42",45,6360,120,5.1,55,35,10,100
"43",46,7900,140,4.9,56,35,9,100
"44",47,3170,50,5.17,46,48,6,100
"45",48,5140,120,5.37,50,44,6,100
"46",49,23740,420,4.4,NA,NA,NA,NA
"47",50,6380,190,4.8,56,36,8,100
"48",52,7800,170,4.53,49,41,10,100
"49",53,2980,60,4.33,66,29,5,100
"50",54,4760,90,3.87,62,34,4,100
"51",55,7790,180,5.2,73,24,3,100
"52",56,4630,100,5.5,69,28,3,100
"53",57,7100,230,5.57,73,24,3,100
"54",59,22950,430,4.47,68,29,3,100
"55",60,17640,250,4.33,80,17,3,100
"56",61,9490,200,4.8,63,28,9,100
"57",62,7860,390,5.4,35,41,24,100
"58",63,6210,190,5.17,59,32,9,100
"59",64,9900,360,5.7,50,41,9,100
"60",65,7260,280,5.57,44,38,18,100
"61",66,7060,330,5.7,34,48,18,100
"62",67,7490,350,5.33,51,34,15,100
"63",68,4050,120,5.03,64,25,11,100
"64",69,4640,170,5.47,51,36,13,100
"65",70,5700,210,5.3,60,32,8,100
"66",71,8260,300,4.7,60,31,9,100
"67",73,11000,430,5.63,41,40,19,100
"68",74,5010,250,5.9,36,42,22,100
"69",75,3420,140,6.23,35,40,25,100
"70",76,6200,220,5.53,34,44,22,100
"71",77,6550,320,5.97,46,36,18,100
"72",78,14640,520,5.67,53,35,12,100
"73",79,5020,150,5.7,70,25,5,100
"74",80,5860,250,6.17,70,25,5,100
"75",81,2280,40,5.33,74,22,4,100
"76",82,1260,30,5.27,71,24,5,100
"77",83,3260,80,6,76,16,8,100
"78",84,4250,150,5.57,75,20,5,100
"79",85,10170,300,6.13,38,53,9,100
"80",86,9320,290,6.33,49,43,8,100
"81",87,5290,160,6.27,44,44,12,100
"82",88,4720,180,6.33,48,40,12,100
"83",89,5530,210,6.43,36,49,15,100
"84",90,6900,220,6,62,28,10,100
"85",91,5620,180,5.97,20,66,14,100
"86",92,7700,220,5.73,34,49,17,100
"87",93,7300,170,5.63,25,55,20,100
"88",94,5510,180,6.17,23,63,14,100
"89",95,3810,130,5.8,29,53,18,100
"90",96,7800,260,6.4,33,51,16,100
"91",202,3541.73913043478,185.217391304348,NA,NA,NA,NA,NA
"92",205,3108.18181818182,182.727272727273,NA,NA,NA,NA,NA
"93",207,2974,128,NA,NA,NA,NA,NA
"94",210,3317.5,195,NA,NA,NA,NA,NA
"95",211,2917.14285714286,155.714285714286,NA,NA,NA,NA,NA
"96",212,3171.42857142857,125.714285714286,NA,NA,NA,NA,NA
"97",214,2616.66666666667,140,NA,NA,NA,NA,NA
"98",215,3101.76470588235,150.588235294118,NA,NA,NA,NA,NA
"99",216,4807.14285714286,248.571428571429,NA,NA,NA,NA,NA
"100",217,3921.42857142857,148.571428571429,NA,NA,NA,NA,NA
"101",218,4034.28571428571,184.285714285714,NA,NA,NA,NA,NA
"102",219,4395.71428571429,194.285714285714,NA,NA,NA,NA,NA
"103",220,3595.71428571429,160,NA,NA,NA,NA,NA
"104",221,3810,197.5,NA,NA,NA,NA,NA
"105",223,4593.4375,278.4375,NA,NA,NA,NA,NA
"106",224,4750,260,NA,NA,NA,NA,NA
"107",225,2526.66666666667,133.333333333333,NA,NA,NA,NA,NA
"108",227,8235,220,NA,NA,NA,NA,NA
"109",228,3044.70588235294,134.117647058824,NA,NA,NA,NA,NA
"110",229,2390.625,110,NA,NA,NA,NA,NA
"111",230,2828.42105263158,76.8421052631579,NA,NA,NA,NA,NA
"112",231,1700,57.1428571428571,NA,NA,NA,NA,NA
"113",232,2567.14285714286,91.4285714285714,NA,NA,NA,NA,NA
"114",233,2795.71428571429,80,NA,NA,NA,NA,NA
"115",238,3355.71428571429,114.285714285714,NA,NA,NA,NA,NA
"116",239,2255.71428571429,82.8571428571429,NA,NA,NA,NA,NA
"117",240,4509.0625,212.1875,NA,NA,NA,NA,NA
"118",241,2971.11111111111,141.111111111111,NA,NA,NA,NA,NA
"119",249,3680,72.8571428571429,NA,NA,NA,NA,NA
"120",250,1977.82608695652,58.695652173913,NA,NA,NA,NA,NA
"121",251,4755.38461538462,225.384615384615,NA,NA,NA,NA,NA
"122",252,4011.42857142857,138.571428571429,NA,NA,NA,NA,NA
"123",254,1494.28571428571,42.8571428571429,NA,NA,NA,NA,NA
"124",257,4911.875,195,NA,NA,NA,NA,NA
"125",258,5852.5,265,NA,NA,NA,NA,NA
"126",259,NA,NA,NA,NA,NA,NA,NA
"127",310,NA,NA,NA,NA,NA,NA,NA
"128",901,5022,210,6.08,74,22,4,100
"129",902,3534,158,6.29,78,20,3,101
"130",903,2502,108,6.4,79,17,4,100
"131",904,3472,184,6.57,80,19,1,100
"132",905,2823,86,6.52,65,28,8,101
"133",906,3175,143,6.49,78,21,1,100
"134",907,4103,180,6.61,73,25,3,101
"135",908,2723,115,6.6,67,24,9,100
"136",909,2456,127,6.61,59,29,11,99
"137",910,NA,NA,NA,NA,NA,NA,NA
"138",911,2953,140,6.4,60,29,11,100
"139",912,2612,102,6.53,60,30,10,100
"140",913,2641,74,6.5,73,24,4,101
"141",914,3119,103,6.47,56,29,15,100
"142",915,2880,111,6.4,70,26,4,100
"143",916,3799,150,6.56,67,29,4,100
"144",917,4471,191,6.56,65,30,5,100
"145",918,3001,93,6.67,72,24,4,100
"146",919,3618,124,6.45,74,22,4,100
"147",920,3933,163,6.3,73,26,1,100
"148",921,3426,123,6.4,70,28,3,101
"149",922,3248,151,6.76,70,25,5,100
"150",923,1892,53,6.21,86,11,3,100
"151",924,2411,54,6.5,80,19,1,100
"152",925,NA,NA,NA,NA,NA,NA,NA
"153",926,NA,NA,NA,NA,NA,NA,NA
"154",927,NA,NA,NA,NA,NA,NA,NA
"155",928,2503,107,6.5,65,28,8,101
"156",929,NA,NA,NA,NA,NA,NA,NA
"157",930,NA,NA,NA,NA,NA,NA,NA
"158",931,NA,NA,NA,NA,NA,NA,NA
"159",932,2475,121,6.6,62,27,11,100
"160",933,NA,NA,NA,NA,NA,NA,NA
"161",934,NA,NA,NA,NA,NA,NA,NA
"162",935,2894,107,6.5,68,25,8,101
"163",936,2855,116,6.61,64,23,13,100
"164",937,NA,NA,NA,NA,NA,NA,NA
"165",938,2736,96,6.56,64,27,9,100
"166",939,2435,168,6.5,61,26,13,100
"167",940,1870,101,6.83,57,27,16,100
"168",941,2640,91,6.5,70,21,9,100
"169",942,2982,87,6.3,83,14,4,101
"170",943,2514,127,6.31,69,29,3,101
"171",944,3637,146,6.4,73,24,4,101
"172",945,3241,138,6.85,66,29,5,100
"173",946,2365,104,6.66,74,22,4,100
"174",947,2378,89,6.33,85,13,3,101
"175",948,4334,189,6.35,72,23,5,100
